11	0	23
23	1	11
11	0	30
30	1	11
11	0	27
27	1	11
11	0	35
35	1	11
23	0	48
48	1	23
23	0	24
24	1	23
23	0	25
25	1	23
23	0	40
40	1	23
23	0	41
41	1	23
23	0	31
31	1	23
23	0	39
39	1	23
23	0	28
28	1	23
23	0	45
45	1	23
23	0	52
52	1	23
23	0	33
33	1	23
23	0	35
35	1	23
23	0	26
26	1	23
23	0	51
51	1	23
23	0	38
38	1	23
23	0	53
53	1	23
23	0	54
54	1	23
23	0	49
49	1	23
23	0	46
46	1	23
23	0	30
30	1	23
23	0	36
36	1	23
23	0	37
37	1	23
23	0	50
50	1	23
23	0	44
44	1	23
23	0	43
43	1	23
23	0	27
27	1	23
23	0	42
42	1	23
23	0	32
32	1	23
23	0	47
47	1	23
3	0	28
28	1	3
3	0	34
34	1	3
3	0	23
23	1	3
3	0	53
53	1	3
3	0	50
50	1	3
3	0	31
31	1	3
3	0	41
41	1	3
4	0	23
23	1	4
4	0	31
31	1	4
4	0	28
28	1	4
4	0	45
45	1	4
4	0	49
49	1	4
4	0	44
44	1	4
28	0	52
52	1	28
28	0	31
31	1	28
28	0	54
54	1	28
28	0	32
32	1	28
28	0	33
33	1	28
28	0	53
53	1	28
28	0	43
43	1	28
28	0	41
41	1	28
28	0	40
40	1	28
28	0	44
44	1	28
28	0	45
45	1	28
28	0	38
38	1	28
28	0	49
49	1	28
28	0	39
39	1	28
28	0	34
34	1	28
13	0	22
22	1	13
13	0	21
21	1	13
13	0	20
20	1	13
20	0	22
22	1	20
20	0	21
21	1	20
31	0	35
35	1	31
31	0	48
48	1	31
31	0	51
51	1	31
31	0	54
54	1	31
31	0	36
36	1	31
31	0	37
37	1	31
31	0	53
53	1	31
31	0	38
38	1	31
31	0	50
50	1	31
31	0	46
46	1	31
31	0	39
39	1	31
31	0	40
40	1	31
31	0	41
41	1	31
31	0	42
42	1	31
31	0	43
43	1	31
31	0	49
49	1	31
31	0	44
44	1	31
31	0	45
45	1	31
48	0	51
51	1	48
42	0	48
48	1	42
42	0	51
51	1	42
24	0	48
48	1	24
10	0	23
23	1	10
10	0	31
31	1	10
10	0	40
40	1	10
10	0	28
28	1	10
34	0	53
53	1	34
34	0	50
50	1	34
34	0	47
47	1	34
14	0	53
53	1	14
14	0	54
54	1	14
14	0	23
23	1	14
14	0	28
28	1	14
14	0	41
41	1	14
19	0	53
53	1	19
19	0	54
54	1	19
19	0	23
23	1	19
19	0	31
31	1	19
19	0	28
28	1	19
19	0	39
39	1	19
8	0	28
28	1	8
8	0	53
53	1	8
8	0	23
23	1	8
8	0	39
39	1	8
8	0	31
31	1	8
8	0	19
19	1	8
21	0	22
22	1	21
21	0	23
23	1	21
21	0	31
31	1	21
21	0	28
28	1	21
2	0	17
17	1	2
2	0	26
26	1	2
17	0	26
26	1	17
9	0	29
29	1	9
16	0	23
23	1	16
16	0	28
28	1	16
16	0	31
31	1	16
16	0	38
38	1	16
16	0	25
25	1	16
50	0	53
53	1	50
12	0	31
31	1	12
12	0	23
23	1	12
12	0	41
41	1	12
12	0	28
28	1	12
12	0	40
40	1	12
41	0	53
53	1	41
26	0	29
29	1	26
40	0	53
53	1	40
40	0	50
50	1	40
40	0	47
47	1	40
18	0	53
53	1	18
18	0	23
23	1	18
18	0	40
40	1	18
18	0	50
50	1	18
18	0	47
47	1	18
47	0	53
53	1	47
47	0	50
50	1	47
39	0	54
54	1	39
39	0	53
53	1	39
7	0	40
40	1	7
7	0	18
18	1	7
7	0	28
28	1	7
7	0	23
23	1	7
35	0	46
46	1	35
25	0	28
28	1	25
25	0	38
38	1	25
6	0	23
23	1	6
53	0	54
54	1	53
45	0	53
53	1	45
45	0	49
49	1	45
44	0	49
49	1	44
27	0	30
30	1	27
49	0	52
52	1	49
